epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,174120,0.71842,0.45511,0.94632,0.96778,0.91041,0.96984,0.83468,0.58357,0.40155,0.89617,0.005413,0.005413,0.005413
141,178280,0.71891,0.4559,0.94838,0.94946,0.91909,0.96615,0.83701,0.56484,0.39414,0.88978,0.00538,0.00538,0.00538
142,182501,0.7165,0.44914,0.94867,0.96522,0.90326,0.96672,0.83903,0.5712,0.39861,0.89271,0.005347,0.005347,0.005347
143,186608,0.71308,0.4514,0.94123,0.98007,0.89766,0.96326,0.83492,0.56515,0.40306,0.88759,0.005314,0.005314,0.005314
144,190710,0.71129,0.44959,0.94929,0.9553,0.92499,0.96867,0.84316,0.57403,0.39454,0.89282,0.005281,0.005281,0.005281
145,194809,0.70993,0.45211,0.94617,0.96507,0.90968,0.96626,0.84299,0.5663,0.4042,0.88708,0.005248,0.005248,0.005248
146,198908,0.69498,0.4418,0.93783,0.94302,0.92958,0.97184,0.84858,0.54735,0.38685,0.88352,0.005215,0.005215,0.005215
147,203053,0.69103,0.43344,0.93351,0.97147,0.90923,0.97042,0.84295,0.55723,0.38128,0.88693,0.005182,0.005182,0.005182
148,207152,0.70247,0.44216,0.94715,0.9726,0.90089,0.96137,0.83601,0.56219,0.41495,0.88608,0.005149,0.005149,0.005149
149,211314,0.69935,0.44383,0.93886,0.97574,0.90771,0.96785,0.84229,0.55818,0.38326,0.88764,0.005116,0.005116,0.005116
150,215450,0.68869,0.43157,0.94069,0.97233,0.89568,0.96899,0.84477,0.56018,0.38421,0.88681,0.005083,0.005083,0.005083
151,219543,0.69155,0.4334,0.9421,0.97847,0.8958,0.96483,0.83673,0.5656,0.40327,0.8883,0.00505,0.00505,0.00505
152,223731,0.69854,0.44171,0.93921,0.95435,0.93135,0.96814,0.84226,0.56168,0.38389,0.88924,0.005017,0.005017,0.005017
153,228186,0.68484,0.42355,0.94252,0.9652,0.91227,0.96694,0.84075,0.56365,0.41207,0.8877,0.004984,0.004984,0.004984
